datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-08-04,0,13990,3.0,-1,854,2682,31764
2020-08-04,0,1167,0.0,-1,38,13,1437
2020-08-04,0,2437,0.0,-1,2613,471,13040
2020-08-05,1,30,0.0,-1,23,0,76
2020-08-05,0,12184,0.0,-1,291,158,9044
2020-08-05,1,1082,0.0,-1,378,109,1609
2020-08-06,0,13822,0.0,-1,385,185,9676
2020-08-06,0,79095,0.0,-1,3372,1108,20491
2020-08-06,1,123832,1.0,-1,2657,2486,37196
2020-08-05,0,1544,0.0,-1,89,45,1616
2020-08-06,0,7914,0.0,-1,289,216,6407
2020-08-07,0,18657,2.0,-1,1313,5074,11800
2020-08-07,0,18363,0.0,-1,294,283,12679
2020-08-07,0,865,0.0,-1,84,13,213
2020-08-07,0,2668,0.0,-1,43,9,1352
2020-08-07,0,2711,0.0,-1,382,432,6956
2020-08-09,0,27345,0.0,-1,637,198,46279
2020-08-09,0,794,0.0,-1,5,0,519
2020-08-09,0,2582,0.0,-1,168,211,1734
2020-08-10,0,125,0.0,-1,302,8,7186
2020-08-10,0,125,0.0,-1,302,8,7186
2020-08-10,0,42,0.0,-1,37,1,340
2020-08-11,0,228,915.0,-1,624,599020,75929
2020-08-11,0,27279,0.0,-1,680,663,30560
2020-08-11,0,3622,0.0,-1,125,26,2633
2020-08-12,0,20138,1.0,-1,554,803,12537
2020-08-12,0,6776,0.0,-1,293,135,2274
2020-08-12,0,2667,0.0,-1,246,104,3540
2020-08-13,0,3345,1.0,-1,784,1375,10010
2020-08-13,0,72728,0.0,-1,3705,2511,78948
2020-08-13,1,12295,10.0,-1,465,4926,121521
2020-08-13,0,27368,0.0,-1,2282,1324,14274
2020-08-14,0,37163,1.0,-1,3902,6499,12630
2020-08-14,0,125,0.0,-1,302,8,7186
2020-08-14,1,111,1.0,-1,9,11,302
2020-08-14,0,64,0.0,-1,2,1,81
2020-08-15,0,34835,1.0,-1,264,294,7651
2020-08-14,0,38963,1.0,-1,1077,1295,56770
2020-08-15,0,11248,2.0,-1,647,1849,9841
2020-08-15,1,173968,1.0,-1,1004,3284,30479
2020-08-15,0,54679,0.0,-1,4924,3049,56996
2020-08-15,0,20411,0.0,-1,635,225,27079
2020-08-16,0,14313,14.0,-1,1717,22546,82416
2020-08-16,1,15227,1.0,-1,661,885,22639
2020-08-16,1,16108,0.0,-1,258,242,17695
2020-08-16,0,16634,0.0,-1,623,531,11077
2020-08-16,0,3270,0.0,-1,335,250,11282
2020-08-16,0,528,0.0,-1,1565,1134,9126
2020-08-16,0,574,0.0,-1,233,36,2053
2020-08-16,0,1132,1.0,-1,194,319,6346
2020-08-17,0,9919,16.0,-1,702,12420,27665
2020-08-17,56,15509,91.0,-1,590,49990,34512
2020-08-17,0,5728,0.0,-1,120,81,11943
2020-08-17,0,4923,1.0,-1,172,443,9321
2020-08-17,0,4911,1.0,-1,464,598,7222
2020-08-17,0,16933,1.0,-1,2742,2461,17634
2020-08-17,0,16913,1.0,-1,562,661,10372
2020-08-18,0,9978,0.0,-1,280,121,7731
2020-08-18,0,5638,1.0,-1,311,344,2684
2020-08-18,0,2,0.0,-1,18,0,77
2020-08-18,0,2222,3.0,-1,1199,2743,17414
